OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,24,1,39.1,19800000.0,Фили-Давыдково, Герасима Курина,18,Славянский бульвар,
ID 73726674,homeowner,Москва,sale,flat,22,1,35.0,13400000.0,,Родниковая ,30к3,Саларьево,Румянцево-Парк
РГ-Девелопмент,developer,Москва,sale,flat,30,1,41.9,10688690.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
ID 81467774,homeowner,Москва,sale,flat,17,1,38.0,13700000.0,Свиблово,Вересковая ,1К1,Свиблово,
ID 19850306,homeowner,Москва,sale,flat,19,1,50.2,23850000.0,Богородское,1-я Мясниковская ,2,Белокаменная,Соколиный форт
Sminex,developer,Москва,sale,flat,9,1,51.4,58100000.0,Пресненский,Электрический переулок,1с22,Белорусская,Элитный квартал Тишинский бульвар
ALVO Group,real_estate_agent,Москва,sale,flat,6,1,31.4,28500000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
MR Group,developer,Москва,sale,flat,39,1,40.25,16317012.0,Западное Дегунино,Северный ао,,Селигерская,Селигер Сити ЖК
ID 96167522,realtor,Москва,sale,flat,9,1,37.0,7885000.0,Люблино, Верхние Поля,27С2,Братиславская,
Центр-Инвест,developer,Москва,sale,flat,9,1,65.1,55380179.0,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,15.8,7890000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
РГ-Девелопмент,developer,Москва,sale,flat,26,1,37.6,14543191.0,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Брусника,developer,Москва,sale,flat,21,1,36.6,27290000.0,Даниловский,Дубининская ,вл59к2,,Дом А
ONE Company,real_estate_agent,Москва,sale,flat,22,1,14.3,8280000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Forma,developer,Москва,sale,flat,29,1,33.1,16262030.0,Печатники,,,Нагатинский Затон,Портлэнд ЖК
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,19.4,8380000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Prime Life Development,developer,Москва,sale,flat,28,1,41.65,22378095.0,Нагатино-Садовники,Нагатинская ,к1вл1,Нагатинская,Первый Нагатинский
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,22,1,19.4,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
MR Group,developer,Москва,sale,flat,15,1,36.4,14512680.0,Покровское-Стрешнево,,,Тушинская,Ситизен ЖК
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Hutton Development,developer,Москва,sale,flat,6,1,48.3,95634000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
MR Group,developer,Москва,sale,flat,30,1,36.6,17412309.0,Южнопортовый,Волгоградский проспект,32/5к3,Волгоградский проспект,Метрополия
ID 96167522,realtor,Москва,sale,flat,9,1,36.9,8850000.0,Люблино, Верхние Поля,27С2,Братиславская,
Level Group,developer,Москва,sale,flat,21,1,37.7,20208954.0,Басманный,Большая Почтовая ,,Электрозаводская,Level Бауманская
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,22,1,19.4,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
КОРТРОС,developer,Москва,sale,flat,37,1,43.6,22323200.0,Останкинский, Годовикова,11к5,Алексеевская,iLove
Msk Estate,real_estate_agent,Москва,sale,flat,22,1,16.0,8880000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Основа,developer,Москва,sale,flat,20,1,36.75,12862500.0,Преображенское,Потешная ,,Преображенская площадь,EvoPark Сокольники
ONE Company,real_estate_agent,Москва,sale,flat,22,1,17.2,9110000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Level Group,developer,Москва,sale,flat,64,1,32.5,21821923.0,Хорошево-Мневники,,,Народное Ополчение,Левел Звенигородская ЖК
Ирина Василевская,realtor,Москва,sale,flat,17,1,38.0,9350000.0,, Авиаконструктора Петлякова,7,Пыхтино,Солнцево парк
Level Group,developer,Москва,sale,flat,37,1,35.8,12069037.0,Нижегородский,,,Нижегородская,Левел Нижегородская ЖК
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,22,1,20.0,9770000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Sminex,developer,Москва,sale,flat,14,1,44.6,27170000.0,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
BARNES International Realty,real_estate_agent,Москва,sale,flat,12,1,61.3,38000000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
Homeapp,real_estate_agent,Москва,sale,flat,17,1,40.0,11300000.0,Гольяново,Хабаровская ,2,Щёлковская,
Трансстройинвест,developer,Москва,sale,flat,24,1,43.5,17768630.0,Очаково-Матвеевское,Мичуринский проспект,72А,Озёрная,ОМ
Intermark Real Estate,real_estate_agent,Москва,sale,flat,20,1,44.0,22490000.0,Левобережный,,В3,Беломорская,Акватория ЖК
One Life,real_estate_agent,Москва,sale,flat,24,1,49.0,18000000.0,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Основа,developer,Москва,sale,flat,28,1,43.5,17182500.0,Хорошево-Мневники,,,Полежаевская,Эмоушен ЖК
ID 92117113,real_estate_agent,Москва,sale,flat,22,1,36.4,16500000.0,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
ОГРК,real_estate_agent,Москва,sale,flat,8,1,43.1,15000000.0,Раменки,Мосфильмовская ,17/25,Ломоносовский проспект,
Regions Development,developer,Москва,sale,flat,16,1,37.8,18192215.0,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Estes,real_estate_agent,Москва,sale,flat,22,1,43.5,19200000.0,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
Homeapp,real_estate_agent,Москва,sale,flat,14,1,38.7,10999999.0,Марьино,Новочеркасский бульвар,36,Марьино,
Capital Group,developer,Москва,sale,flat,67,1,47.5,47500000.0,Пресненский,Краснопресненская набережная,14Ак1,Москва-Сити,Capital Towers
do A.S.A.P.,real_estate_agent,Москва,sale,flat,20,1,48.9,26500000.0,Раменки, Василия Ланового,3,Аминьевская,Событие
